x,z,rx,ry,rz,ra,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.02385,0.28410,0.21324,0.20596,0.88212,0.00000,0.28410,-0.21324,-0.20596,0.88212,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.03493,0.27671,0.21010,0.20873,0.87380,0.00000,0.27671,-0.21010,-0.20873,0.87380,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.04783,0.26811,0.20645,0.21196,0.86413,0.00000,0.26811,-0.20645,-0.21196,0.86413,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.06240,0.25840,0.20232,0.21560,0.85320,0.00000,0.25840,-0.20232,-0.21560,0.85320,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.07851,0.24766,0.19776,0.21963,0.84112,0.00000,0.24766,-0.19776,-0.21963,0.84112,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.09601,0.23599,0.19280,0.22400,0.82799,0.00000,0.23599,-0.19280,-0.22400,0.82799,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.11478,0.22348,0.18748,0.22869,0.81392,0.00000,0.22348,-0.18748,-0.22869,0.81392,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.13467,0.21022,0.18184,0.23367,0.79900,0.00000,0.21022,-0.18184,-0.23367,0.79900,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.15556,0.19630,0.17593,0.23889,0.78333,0.00000,0.19630,-0.17593,-0.23889,0.78333,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.17729,0.18180,0.16977,0.24432,0.76703,0.00000,0.18180,-0.16977,-0.24432,0.76703,0.00000
